OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
POC13004	0	POC13004_L367.avi	14151	POC13004_R368.avi	15760	9.43400	Timeseabed	0.36333	-724.89130	-88.81817	-1722.05031	1.16547	0.59010	2.77321	25.24870	1870.51152	22.89664	Nemipteridae	Nemipterus	spp		1	AD	Passing	out of fov		
POC13004	1	POC13004_L367.avi	14151	POC13004_R368.avi	15760	9.43400	Timeseabed	0.36333	-262.55367	-189.74916	-1774.34374	0.73963	0.71030	3.24847	1.40480	1803.67261	9.89519					1	AD	Passing			
POC13004	11	POC13004_L367.avi	33653	POC13004_R368.avi	35262	22.43533	Timeseabed	13.36467	-981.50741	458.94333	-3355.72173	3.14011	1.71435	11.01329	1.66926	3526.30885	18.25047	Carangidae	Decapterus	spp		13	AD	Passing			
POC24010	0	POC24010_L376.avi	13448	POC24010_R375.avi	12025	8.96533	TimeSeaBed	1.40133	12.49669	-125.18597	-1291.90959	0.44801	0.47623	1.77520	1.40233	1298.02084	4.84235	Nemipteridae	Nemipterus	spp		1	AD	Passing			
POC24010	2	POC24010_L376.avi	49730	POC24010_R375.avi	48307	33.15333	TimeSeaBed	25.58933	-393.04890	-21.83428	-2101.64033	1.04800	0.70990	4.56419	2.71386	2138.18995	10.59330	Carangidae	Carangoides	sp10		1	AD	Passing			
POC24010	3	POC24010_L376.avi	55014	POC24010_R375.avi	53591	36.67600	TimeSeaBed	29.11200	607.52224	76.11798	-2058.96092	1.34376	0.69092	4.29636	1.20685	2148.06827	16.66590	Carcharhinidae	Carcharhinus	sp		1	AD	Passing			
POC24010	15	POC24010_L376.avi	75009	POC24010_R375.avi	73586	50.00600	TimeSeaBed	42.44200	232.47922	-110.76824	-1875.13670	0.76013	0.68010	3.66792	2.33142	1892.73712	7.53660	Terapontidae	Terapon	jarbua	37321002	1	AD	Passing			
POC24010	16	POC24010_L376.avi	75009	POC24010_R375.avi	73586	50.00600	TimeSeaBed	42.44200	359.59534	-115.45471	-1415.74683	0.67788	0.51218	2.05903	0.32432	1465.25687	14.73131	Terapontidae	Terapon	jarbua	37321002	1	AD	Passing			
POC24010	17	POC24010_L376.avi	75009	POC24010_R375.avi	73586	50.00600	TimeSeaBed	42.44200	-165.65541	-99.14077	-1406.67217	0.52875	0.50358	2.08852	2.27165	1419.85816	7.46865	Terapontidae	Terapon	jarbua	37321002	1	AD	Passing			
POC24010	18	POC24010_L376.avi	100809	POC24010_R375.avi	99386	67.20600	TimeSeaBed	59.64200	538.65535	42.32763	-2384.23957	1.45210	0.79540	5.83770	0.68925	2444.69620	12.84533	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC24010	19	POC24010_L376.avi	100809	POC24010_R375.avi	99386	67.20600	TimeSeaBed	59.64200	337.47462	145.17733	-2287.74986	1.06529	0.81088	5.42733	6.00822	2317.05956	9.43219	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC24010	20	POC24010_L376.avi	100809	POC24010_R375.avi	99386	67.20600	TimeSeaBed	59.64200	454.85468	248.34385	-2211.80565	1.20462	0.88480	5.05331	1.42831	2271.70677	13.54823	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC24010	21	POC24010_L376.avi	100809	POC24010_R375.avi	99386	67.20600	TimeSeaBed	59.64200	80.58723	231.74358	-2421.63442	0.83649	0.94904	6.07440	2.12277	2434.03218	6.47334	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
