Dot Point Measurements																									
																									
"Generated: Tuesday, November 20, 2018 15:07:32"																									
																									
Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	Broad	Morphology	Type	FieldOfView	Relief	Bedforms	Bedform.type	CODE	Radius %
POC11001_L378.avi	24934	1820.4293	136	193													Open Water			Open					100
POC11001_L378.avi	24934	1820.4293	405	193													Open Water			Open					89.8
POC11001_L378.avi	24934	1820.4293	675	193													Open Water			Open					89.8
POC11001_L378.avi	24934	1820.4293	944	193													Octocoral/Black	Whip		Open	3. Good relief structure with some overhangs. >45 substrate slope.	Bioturbated		11168917	100
POC11001_L378.avi	24934	1820.4293	136	576													Open Water			Open					64.3
POC11001_L378.avi	24934	1820.4293	405	576													Open Water			Open					46.9
POC11001_L378.avi	24934	1820.4293	675	576													Open Water			Open					46.9
POC11001_L378.avi	24934	1820.4293	944	576													Octocoral/Black	Branching (3D)	Type 1	Open	3. Good relief structure with some overhangs. >45 substrate slope.	Bioturbated		11168902	64.3
POC11001_L378.avi	24934	1820.4293	136	960													Open Water			Open					46.6
POC11001_L378.avi	24934	1820.4293	405	960													Open Water			Open					15.5
POC11001_L378.avi	24934	1820.4293	675	960													Open Water			Open					15.5
POC11001_L378.avi	24934	1820.4293	944	960													Unconsolidated	Sand / mud (fine sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Bioturbated		82001015	46.6
POC11001_L378.avi	24934	1820.4293	136	1344													Open Water			Open					64.3
POC11001_L378.avi	24934	1820.4293	405	1344													Open Water			Open					46.9
POC11001_L378.avi	24934	1820.4293	675	1344													Open Water			Open					46.9
POC11001_L378.avi	24934	1820.4293	944	1344													Unconsolidated	Sand / mud (fine sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Bioturbated		82001015	64.3
POC11001_L378.avi	24934	1820.4293	136	1727													Open Water			Open					100
POC11001_L378.avi	24934	1820.4293	405	1727													Open Water			Open					89.8
POC11001_L378.avi	24934	1820.4293	675	1727													Open Water			Open					89.8
POC11001_L378.avi	24934	1820.4293	944	1727													Unconsolidated	Sand / mud (fine sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Bioturbated		82001015	100
POC11002_L373.avi	23125	1917.598	136	193													Open Water			Open					100
POC11002_L373.avi	23125	1917.598	405	193													Open Water			Open					89.8
POC11002_L373.avi	23125	1917.598	675	193													Unconsolidated	Sand / mud (coarse sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Bioturbated		82001014	89.8
POC11002_L373.avi	23125	1917.598	944	193													Unconsolidated	Sand / mud (coarse sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Bioturbated		82001014	100
POC11002_L373.avi	23125	1917.598	136	576													Open Water			Open					64.3
POC11002_L373.avi	23125	1917.598	405	576													Open Water			Open					46.9
POC11002_L373.avi	23125	1917.598	675	576													Unconsolidated	Sand / mud (fine sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Bioturbated		82001015	46.9
POC11002_L373.avi	23125	1917.598	944	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	Bioturbated		82001015	64.3
POC11002_L373.avi	23125	1917.598	136	960													Open Water			Open					46.6
POC11002_L373.avi	23125	1917.598	405	960													Open Water			Open					15.5
