OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
POC13004	0	0	94.95183	655.89041	13.56455	663.28767
POC13004	1	0	723.27387	777.76119	566.12802	753.58209
POC13004	2	0	1484.82686	711.96269	1426.40084	758.79104
POC13004	2	1	1746.73662	675.29104	1749.75866	754.76119
POC13004	3	0	1032.13873	690.41096	833.60308	687.94521
POC13004	3	1	252.79383	705.20548	66.58960	650.95890
POC13004	4	0	1407.54040	474.11194	1572.41973	504.48507
POC13004	4	1	659.71668	436.50746	787.15740	439.87313
POC13004	5	0	769.47977	236.71233	976.64740	240.41096
POC13004	5	1	651.09827	241.64384	834.83622	240.41096
POC13004	6	0	526.55106	277.39726	753.44894	273.69863
POC13004	6	1	416.80154	266.30137	651.09827	270.00000
POC13004	7	0	501.88825	387.12329	799.07514	383.42466
POC13004	7	1	422.96724	385.89041	713.98844	379.72603
POC13004	8	0	451.32948	75.20548	696.72447	87.53425
POC13004	8	1	332.94798	65.34247	586.97495	83.83562
POC13004	9	0	408.16956	181.23288	738.65125	182.46575
POC13004	9	1	320.61657	166.43836	631.36802	177.53425
POC13004	10	0	418.03468	221.91781	670.82852	221.91781
POC13004	10	1	315.68401	215.75342	562.31214	226.84932
POC13004	11	0	170.17341	252.73973	462.42775	255.20548
POC13004	12	0	1170.53515	721.34328	930.78699	739.47761
POC13004	12	1	1541.23820	640.74627	1283.35782	677.01493
POC13004	13	0	945.34208	571.14179	719.98216	566.29104
POC13004	13	1	1122.63484	527.82090	929.50997	542.11194
POC13004	14	0	1690.32529	629.97015	1421.36411	678.77612
POC13004	14	1	1904.88982	586.64925	1707.45016	647.54478
POC13004	15	0	1365.08671	579.45205	1271.36802	610.27397
POC13004	15	1	1584.58574	573.28767	1482.23507	618.90411
POC13004	16	0	1529.09441	493.15068	1605.54913	527.67123
POC13004	16	1	1704.20039	486.98630	1796.68593	530.13699
POC13004	17	0	1511.01784	674.31343	1327.68101	715.69403
POC13004	17	1	1747.74397	646.10448	1566.42183	696.55224
POC13004	18	0	1410.29801	609.85075	1024.04302	633.55970
POC13004	18	1	1693.36201	649.14179	1303.07765	693.00000
POC13004	19	0	1558.55404	348.85821	1296.70199	371.03731
POC13004	19	1	1773.11857	373.03731	1412.54669	402.26866
POC13004	20	0	461.36411	677.67910	496.62120	648.16418
POC13004	20	1	225.64533	710.92537	224.63799	663.27612
POC13004	21	0	1108.07975	654.34328	1036.65687	667.20149
POC13004	21	1	1442.51836	605.98507	1343.89717	635.97015
POC13004	22	0	1772.02312	394.52055	1918.76686	440.13699
POC13004	22	1	1176.41618	315.61644	1235.60694	334.10959
POC24010	0	0	1210.08403	777.69231	753.70948	708.46154
POC24010	1	0	470.20408	710.76923	389.53181	632.30769
POC24010	1	1	769.84394	680.76923	638.46339	611.53846
POC24010	2	0	583.14526	602.30769	548.57143	537.69231
POC24010	3	0	1588.09124	489.23077	1565.04202	408.46154
POC24010	4	0	1293.06122	443.07692	1180.12005	369.23077
POC24010	4	1	1352.98920	484.61538	1223.91357	406.15385
POC24010	4	2	1378.34334	486.92308	1249.26771	408.46154
POC24010	4	3	1415.22209	480.00000	1293.06122	401.53846
