OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
POC13004	2	POC13004_L367.avi	16289	POC13004_R368.avi	17898	10.85933	Timeseabed	1.78867	277.29502	1.88954	5.78889	2089.98261	17.86190	5.87012	3.54533	615.58473	-178.87688	-1989.24252	Synodontidae	Synodus	indicus	37118009	1	AD	Passing			
POC13004	3	POC13004_L367.avi	32428	POC13004_R368.avi	34037	21.61867	Timeseabed	12.54800	593.87390	1.38015	2.76090	1671.03721	11.17247	12.61035	2.33597	-304.15067	-111.03731	-1639.36831	Carcharhinidae	Carcharhinus	coatesi	37018009	1	AD	Passing			
POC13004	4	POC13004_L367.avi	33434	POC13004_R368.avi	35043	22.28933	Timeseabed	13.21867	1005.45946	2.39282	4.99882	2766.69829	4.80628	2.32513	4.22730	209.57010	99.08500	-2756.96971	Carcharhinidae	Carcharhinus	sorrah	37018013	1	AD	Passing			
POC13004	5	POC13004_L367.avi	33653	POC13004_R368.avi	35262	22.43533	Timeseabed	13.36467	273.47645	10.54439	2.89493	3156.33759	8.90549	48.85999	6.64142	-200.03064	445.79634	-3118.28805	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	6	POC13004_L367.avi	33653	POC13004_R368.avi	35262	22.43533	Timeseabed	13.36467	159.72208	4.84989	3.08511	3324.64460	11.97770	15.46416	2.35055	-548.94842	417.98270	-3252.26196	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	7	POC13004_L367.avi	33653	POC13004_R368.avi	35262	22.43533	Timeseabed	13.36467	208.71986	17.63771	1.72830	3966.91964	9.93375	53.80338	2.07290	-616.30208	297.45611	-3907.44713	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	8	POC13004_L367.avi	33653	POC13004_R368.avi	35262	22.43533	Timeseabed	13.36467	170.50179	6.47020	2.20578	3375.72583	16.48899	23.09958	1.85646	-645.92109	707.67977	-3236.89669	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	9	POC13004_L367.avi	33653	POC13004_R368.avi	35262	22.43533	Timeseabed	13.36467	400.01682	21.23261	3.85724	4080.52075	14.59111	74.89639	6.91596	-769.30284	681.81953	-3948.91693	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	10	POC13004_L367.avi	33653	POC13004_R368.avi	35262	22.43533	Timeseabed	13.36467	213.57365	12.42876	5.98507	3387.43049	14.62702	54.21364	6.73252	-695.19816	498.42886	-3277.64451	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	12	POC13004_L367.avi	43501	POC13004_R368.avi	45110	29.00067	Timeseabed	19.93000	285.54969	1.39571	1.60085	1599.30484	8.79775	17.62929	11.67990	212.18244	-121.70510	-1580.48805	Ariidae	Netuma	thalassina	37188001	1	AD	Passing			
POC13004	13	POC13004_L367.avi	56148	POC13004_R368.avi	57757	37.43200	Timeseabed	28.36133	171.39419	1.74565	1.76591	1664.21673	0.63361	22.86580	8.49607	-14.60681	-11.19523	-1664.11497	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	14	POC13004_L367.avi	56249	POC13004_R368.avi	57858	37.49933	Timeseabed	28.42867	203.85593	1.51231	0.06091	1615.83489	19.51607	17.11729	6.75780	534.47509	-75.66210	-1523.00165	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	15	POC13004_L367.avi	56275	POC13004_R368.avi	57884	37.51667	Timeseabed	28.44600	191.61101	2.55514	1.61360	1906.15949	12.94156	26.68522	0.12732	423.46967	-53.99443	-1857.74111	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	16	POC13004_L367.avi	56275	POC13004_R368.avi	57884	37.51667	Timeseabed	28.44600	181.12029	3.87354	0.58946	2402.58702	18.49560	26.46298	0.30767	761.72455	26.25472	-2278.48870	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	17	POC13004_L367.avi	56280	POC13004_R368.avi	57889	37.52000	Timeseabed	28.44933	179.58863	1.73262	2.23318	1720.17315	16.21100	19.01187	7.03469	465.44827	-118.23265	-1651.77923	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	18	POC13004_L367.avi	56352	POC13004_R368.avi	57961	37.56800	Timeseabed	28.49733	182.12209	0.92176	0.85725	1374.04069	11.63486	10.02556	9.90731	267.04002	-74.01689	-1345.80792	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	19	POC13004_L367.avi	56392	POC13004_R368.avi	58001	37.59467	Timeseabed	28.52400	181.27369	2.69993	1.38043	1474.00174	15.70402	67.62169	10.60923	384.57351	106.19017	-1418.98132	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	20	POC13004_L367.avi	60726	POC13004_R368.avi	62335	40.48400	Timeseabed	31.41333	314.71878	5.45045	0.50322	2220.43884	15.99300	54.96933	1.06905	-597.94010	-129.36862	-2134.49761	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
POC13004	21	POC13004_L367.avi	64808	POC13004_R368.avi	66417	43.20533	Timeseabed	34.13467	318.90154	2.72698	1.95133	1963.78677	8.10395	27.32047	7.34677	259.24239	-97.11036	-1944.17629	Tetraodontidae	Lagocephalus	lunaris	37467012	1	AD	Passing			
POC13004	22	POC13004_L367.avi	69039	POC13004_R368.avi	70648	46.02600	Timeseabed	36.95533	685.47902	2.34684	4.72835	2444.30366	15.59562	5.69819	9.89267	631.43520	182.00283	-2354.31198	Rachycentridae	Rachycentron	canadum	37335001	1	AD	Passing			
POC24010	1	POC24010_L376.avi	28777	POC24010_R375.avi	27354	19.18467	TimeSeaBed	11.62067	262.38363	1.67532	1.23169	1920.47900	11.08189	12.20122	4.44103	-355.70011	-98.69592	-1884.66871	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
