OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
POC13004	0	Timeseabed	POC13004_L367.avi	13606	9.07067	POC13004_L367.avi	103609	69.07267	1
POC24010	0	TimeSeaBed	POC24010_L376.avi	11346	7.56400	POC24010_L376.avi	101346	67.56400	1
POC12007	0	timeseabed	POC12007_R375.avi	11769	7.84600	POC12007_R375.avi	101769	67.84600	1
POC25002	0	Timeseabed	POC25002_R373.avi	11938	7.95867	POC25002_R373.avi	102656	68.43733	1
POC24008	0	TimeSeaBed	POC24008_L377.avi	11575	7.71667	POC24008_L377.avi	101575	67.71667	1
POC13001	0	Timeseabed	POC13001_L377.avi	14632	9.75467	POC13001_L377.avi	104773	69.84867	1
POC25004	0	Timeseabed	POC25004_R372.avi	12218	8.14533	POC25004_R372.avi	102218	68.14533	1
POC37004	0	timeseabed	POC37004_R373.avi	8839	5.89267	POC37004_R373.avi	98839	65.89267	1
POC13002	0	Timeseabed	POC13002_L373.avi	11541	7.69400	POC13002_L373.avi	101541	67.69400	1
POC26005	0	timeseabed	POC26005_L367.avi	9489	6.32600	POC26005_L367.avi	99489	66.32600	1
POC12009	0	timesebed	POC12009_R378.avi	11134	7.42267	POC12009_R378.avi	101134	67.42267	1
POC13007	0	TimeSeaBed	POC13007_L378.avi	15683	10.45533	POC13007_L378.avi	106338	70.89200	1
POC38004	0	TimeSeaBed	POC38004_L371.avi	11432	7.62133	POC38004_L371.avi	101543	67.69533	1
POC13009	0	TimeSeaBed	POC13009_L375.avi	11115	7.41000	POC13009_L375.avi	101129	67.41933	1
POC39002	0	TimeSeaBed	POC39002_L371.avi	10816	7.21067	POC39002_L371.avi	100889	67.25933	1
POC38002	0	TimeSeaBed	POC38002_L374.avi	11830	7.88667	POC38002_L374.avi	101907	67.93800	1
POC24009	0	TimeSeaBed	POC24009_L374.avi	11712	7.80800	POC24009_L374.avi	101712	67.80800	1
POC12001	0	timeseabed	POC12001_L371.avi	14905	9.93667	POC12001_L371.avi	104905	69.93667	1
POC11013	0	Timeseabed	POC11013_L.avi	11734	7.82267	POC11013_L.avi	101897	67.93133	1
POC11002	0	timeseabed	POC11002_L373.avi	22018	14.67867				0
POC38005	0	timeseabed	POC38005_L367.avi	9308	6.20533				0
POC13005	0	Timeseabed	POC13005_R372.avi	11286	7.52400	POC13005_R372.avi	101654	67.76933	1
POC37003	0	TimeSeaBed	POC37003_L378.avi	12081	8.05400	POC37003_L378.avi	102953	68.63533	1
POC37005	0	timeseabed	POC37005_R375.avi	11130	7.42000	POC37005_R375.avi	101130	67.42000	1
POC39001	0	TimeSeaBed	POC39001_L367.avi	11669	7.77933	POC39001_L367.avi	101752	67.83467	1
POC12002	0	TimeSeaBed	POC12002_L367.avi	9907	6.60467	POC12002_L367.avi	99955	66.63667	1
POC11014	0	Timeseabed	POC11014_R.avi	9796	6.53067	POC11014_R.avi	100076	66.71733	1
POC11009	0	timeseabed	POC11009_L376.avi	15778	10.51867	POC11009_L376.avi	105779	70.51933	1
POC11011	0	timeseabed	POC11011_L376.avi	11060	7.37333	POC11011_L376.avi	103333	68.88867	1
POC24006	0	TimeSeaBed	POC24006_L367.avi	9918	6.61200	POC24006_L367.avi	100189	66.79267	1
POC11003	0	timeseabed	POC11003_L375.avi	12967	8.64467	POC11003_L375.avi	102967	68.64467	1
POC12003	0	Timeseabed	POC12003_L375.avi	11476	7.65067	POC12003_L375.avi	101639	67.75933	1
POC11004	0	timeseabed	POC11004_R368.avi	19156	12.77067				0
POC13008	0	Timeseabed	POC13008_R373.avi	14192	9.46133	POC13008_R373.avi	104315	69.54333	1
POC13010	0	timeseabed	POC13010_L368.avi	13342	8.89467	POC13010_L368.avi	103342	68.89467	1
POC11012	0	timeseabed	POC11012_L374.avi	13228	8.81867	POC11012_L374.avi	103229	68.81933	1
POC11015	0	Timeseabed	POC11015_L367.avi	10218	6.81200	POC11015_L367.avi	100218	66.81200	1
POC12010	0	timeseabed	POC12010_L372.avi	11973	7.98200	POC12010_L372.avi	102003	68.00200	1
POC26003	0	TimeSeaBed	POC26003_L377.avi	10967	7.31133	POC26003_L377.avi	101015	67.34333	1
POC26001	0	TimeSeaBed	POC26001_L376.avi	11301	7.53400	POC26001_L376.avi	101335	67.55667	1
POC25001	0	timeseabed	POC25001_L375.avi	17416	11.61067	POC25001_L375.avi	107416	71.61067	1
POC24007	0	TimeSeaBed	POC24007_L371.avi	11399	7.59933	POC24007_L371.avi	101399	67.59933	1
POC12006	0	Timeseabed	POC12006_R368.avi	13595	9.06333	POC12006_R368.avi	105422	70.28133	1
POC39004	0	TimeSeaBed	POC39004_L374.avi	9988	6.65867	POC39004_L374.avi	100186	66.79067	1
POC38001	0	timeseabed	POC38001_L376.avi	12598	8.39867				0
POC25005	0	timeseabed	POC25005_R368.avi	10822	7.21467	POC25005_R368.avi	100822	67.21467	1
POC37002	0	timeseabed	POC37002_R372.avi	10395	6.93000	POC37002_R372.avi	100395	66.93000	1
POC13003	0	Timeseabed	POC13003_L375.avi	13489	8.99267	POC13003_L375.avi	104643	69.76200	1
POC12005	0	Timeseabed	POC12005_L377.avi	9368	6.24533				0
POC12004	0	TimeSeaBed	POC12004_L.avi	16920	11.28000	POC12004_L.avi	106920	71.28000	1
POC12008	0	TimeSeaBed	POC12008_L373.avi	11876	7.91733	POC12008_L373.avi	102217	68.14467	1
POC39005	0	TimeSeaBed	POC39005_L376.avi	9331	6.22067	POC39005_L376.avi	99331	66.22067	1
POC11001	0	TimeSeaBed	POC11001_L378.avi	21388	14.25867	POC11001_L378.avi	111488	74.32533	1
POC37001	0	timeseabed	POC37001_R368.avi	9305	6.20333	POC37001_R368.avi	99305	66.20333	1
POC39003	0	Timeseabed	POC39003_L377.avi	10510	7.00667	POC39003_L377.avi	100670	67.11333	1
POC11005	0	TimeSeaBed	POC11005_L372.avi	15398	10.26533	POC11005_L372.avi	105483	70.32200	1
POC26002	0	Timeseabed	POC26002_L374.avi	16447	10.96467				0
POC26004	0	timeseabed	POC26004_R372.avi	10778	7.18533	POC26004_R372.avi	100778	67.18533	1
