OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
POC13004	0	POC13004_L367.avi	13606	9.07067	Timeseabed	0.00000	962.43038	619.57255									1.75	1
POC13004	1	POC13004_L367.avi	14151	9.43400	Timeseabed	0.36333	108.79328	664.92537	Nemipteridae	Nemipterus	spp		1	AD	Passing			
POC13004	2	POC13004_L367.avi	14151	9.43400	Timeseabed	0.36333	682.98006	781.79104					1	AD	Passing	not sure		
POC13004	3	POC13004_L367.avi	16284	10.85600	Timeseabed	1.78533	1609.73767	697.16418	Synodontidae	Synodus	indicus	37118009	1	AD	Passing			
POC13004	4	POC13004_L367.avi	32428	21.61867	Timeseabed	12.54800	662.83316	660.89552	Carcharhinidae	Carcharhinus	coatesi	37018009	1	AD	Passing			
POC13004	5	POC13004_L367.avi	33364	22.24267	Timeseabed	13.17200	1674.20776	628.65672	Carcharhinidae	Carcharhinus	sorrah	37018013	1	AD	Passing			
POC13004	6	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	717.22980	231.71642	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	7	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	594.33368	265.97015	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	8	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	487.55509	267.98507	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	9	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	513.74607	348.58209	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	10	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	465.39349	378.80597	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	11	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	273.99790	398.95522	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	12	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	372.71773	324.40299	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	13	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	304.21826	298.20896	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	14	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	348.54145	284.10448	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	15	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	314.29171	237.76119	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	16	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	384.80588	221.64179	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	17	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	362.64428	173.28358	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	18	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	229.67471	189.40299	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	19	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	199.45435	253.88060	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	20	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	406.96747	74.55224	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	21	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	185.35152	52.38806	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	22	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	126.92550	40.29851	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	23	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	193.41028	159.17910	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	24	POC13004_L367.avi	33653	22.43533	Timeseabed	13.36467	46.33788	161.19403	Carangidae	Decapterus	spp		1	AD	Passing			
POC13004	25	POC13004_L367.avi	36106	24.07067	Timeseabed	15.00000	1047.49367	688.81890									2.5	
POC13004	26	POC13004_L367.avi	36291	24.19400	Timeseabed	15.12333	695.06821	288.13433	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	27	POC13004_L367.avi	36291	24.19400	Timeseabed	15.12333	1216.87303	247.83582	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	28	POC13004_L367.avi	40597	27.06467	Timeseabed	17.99400	1680.25184	487.61194	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	29	POC13004_L367.avi	40597	27.06467	Timeseabed	17.99400	1750.76600	423.13433	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	30	POC13004_L367.avi	40597	27.06467	Timeseabed	17.99400	1406.25393	409.02985	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	31	POC13004_L367.avi	43360	28.90667	Timeseabed	19.83600	1577.50262	485.59701	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	32	POC13004_L367.avi	43360	28.90667	Timeseabed	19.83600	1293.43127	374.77612	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	33	POC13004_L367.avi	43360	28.90667	Timeseabed	19.83600	979.13956	255.89552	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	34	POC13004_L367.avi	43360	28.90667	Timeseabed	19.83600	795.80273	116.86567	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC13004	35	POC13004_L367.avi	43419	28.94600	Timeseabed	19.87533	1674.20776	705.22388	Ariidae	Netuma	thalassina	37188001	1	AD	Passing			
