OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
POC13004	1.07	2018 11 22 13:58:36	F:\Converted\	POC13004.EMObs
POC24010	1.07	2018 11 22 13:58:36	I:\Converted\	POC24010.EMObs
POC12007	1.07	2018 11 22 13:58:36	I:\Converted\	POC12007.EMObs
POC25002	1.07	2018 11 22 13:58:36	E:\Converted\	POC25002.EMObs
POC24008	1.07	2018 11 22 13:58:36	E:\Converted\	POC24008.EMObs
POC13001	1.07	2018 11 22 13:58:36	F:\Converted\	POC13001.EMObs
POC25004	1.07	2018 11 22 13:58:36	E:\Converted\	POC25004.EMObs
POC37004	1.07	2018 11 22 13:58:36	I:\Converted\	POC37004.EMObs
POC13002	1.07	2018 11 22 13:58:36	F:\Converted\	POC13002.EMObs
POC26005	1.07	2018 11 22 13:58:36	F:\Converted\	POC26005.EMObs
POC12009	1.07	2018 11 22 13:58:36	E:\Converted\	POC12009.EMObs
POC13007	1.07	2018 11 22 13:58:36	E:\Converted\	POC13007.EMObs
POC38004	1.07	2018 11 22 13:58:36	F:\Converted\	POC38004.EMObs
POC13009	1.07	2018 11 22 13:58:36	E:\Converted\	POC13009.EMObs
POC39002	1.07	2018 11 22 13:58:36	F:\Converted\	POC39002.EMObs
POC38002	1.07	2018 11 22 13:58:36	F:\Converted\	POC38002.EMObs
POC24009	1.07	2018 11 22 13:58:36	I:\Converted\	POC24009.EMObs
POC12001	1.07	2018 11 22 13:58:36	I:\Converted\	POC12001.EMObs
POC11013	1.07	2018 11 22 13:58:36	G:\Converted\	POC11013.EMObs
POC11002	1.07	2018 11 22 13:58:36	I:\Converted\	POC11002.EMObs
POC38005	1.07	2018 11 22 13:58:36	F:\Converted\	POC38005.EMObs
POC13005	1.07	2018 11 22 13:58:36	F:\Converted\	POC13005.EMObs
POC37003	1.07	2018 11 22 13:58:36	E:\Converted\	POC37003.EMObs
POC37005	1.07	2018 11 22 13:58:36	I:\Converted\	POC37005.EMObs
POC39001	1.07	2018 11 22 13:58:36	F:\Converted\	POC39001.EMObs
POC12002	1.07	2018 11 22 13:58:36	I:\Converted\	POC12002.EMObs
POC11014	1.07	2018 11 22 13:58:36	G:\Converted\	POC11014.EMObs
POC11009	1.07	2018 11 22 13:58:36	I:\Converted\	POC11009.EMObs
POC11011	1.07	2018 11 22 13:58:36	F:\Converted\	POC11011.EMObs
POC24006	1.07	2018 11 22 13:58:36	E:\Converted\	POC24006.EMObs
POC11003	1.07	2018 11 22 13:58:36	E:\Converted\	POC11003.EMObs
POC12003	1.07	2018 11 22 13:58:36	I:\Converted\	POC12003.EMObs
POC11004	1.07	2018 11 22 13:58:36	E:\Converted\	POC11004.EMObs
POC13008	1.07	2018 11 22 13:58:36	E:\Converted\	POC13008.EMObs
POC13010	1.07	2018 11 22 13:58:36	I:\Converted\	POC13010.EMObs
POC11012	1.07	2018 11 22 13:58:36	F:\Converted\	POC11012.EMObs
POC11015	1.07	2018 11 22 13:58:36	G:\Converted\	POC11015.EMObs
POC12010	1.07	2018 11 22 13:58:36	E:\Converted\	POC12010.EMObs
POC26003	1.07	2018 11 22 13:58:36	F:\Converted\	POC26003.EMObs
POC26001	1.07	2018 11 22 13:58:36	I:\Converted\	POC26001.EMObs
POC25001	1.07	2018 11 22 13:58:36	I:\Converted\	POC25001.EMObs
POC24007	1.07	2018 11 22 13:58:36	I:\Converted\	POC24007.EMObs
POC12006	1.07	2018 11 22 13:58:36	E:\Converted\	POC12006.EMObs
POC39004	1.07	2018 11 22 13:58:36	F:\Converted\	POC39004.EMObs
POC38001	1.07	2018 11 22 13:58:36	I:\Converted\	POC38001.EMObs
POC25005	1.07	2018 11 22 13:58:36	I:\Converted\	POC25005.EMObs
POC37002	1.07	2018 11 22 13:58:36	I:\Converted\	POC37002.EMObs
POC13003	1.07	2018 11 22 13:58:36	F:\Converted\	POC13003.EMObs
POC12005	1.07	2018 11 22 13:58:36	F:\Converted\	POC12005.EMObs
POC12004	1.07	2018 11 22 13:58:36	E:\Converted\	POC12004.EMObs
POC12008	1.07	2018 11 22 13:58:36	I:\Converted\	POC12008.EMObs
POC39005	1.07	2018 11 22 13:58:36	E:\Converted\	POC39005.EMObs
POC11001	1.07	2018 11 22 13:58:36	I:\Converted\	POC11001.EMObs
POC37001	1.07	2018 11 22 13:58:36	I:\Converted\	POC37001.EMObs
POC39003	1.07	2018 11 22 13:58:36	F:\Converted\	POC39003.EMObs
POC11005	1.07	2018 11 22 13:58:36	I:\Converted\	POC11005.EMObs
POC26002	1.07	2018 11 22 13:58:36	F:\Converted\	POC26002.EMObs
POC26004	1.07	2018 11 22 13:58:36	F:\Converted\	POC26004.EMObs
