Sample,Date,Time,Depth,Location,Site,Status,Latitude,Longitude,Observer,Successful.count,Successful.length
POC11001,20181022,7:48,99.7,1,1,Fished,-19.06074981,117.9939425,Fernanda Rolim,Yes,Yes
POC11002,20181022,8:06,101,1,1,Fished,-19.05631981,117.9932366,Brooke Gibbons,Yes,Yes
POC11003,20181022,8:16,99,1,1,Fished,-19.06097751,117.9983176,Michael Brooker,Yes,Yes
POC11004,20181022,8:29,99.5,1,1,Fished,-19.06528606,117.9935499,Michael Brooker,Yes,Yes
POC11005,20181022,8:40,100,1,1,Fished,-19.06093706,117.9886542,Fernanda Rolim,Yes,Yes
POC12001,20181022,12:06,114,1,2,Fished,-19.02441154,118.0508807,Michael Brooker,Yes,Yes
POC12002,20181022,12:14,115,1,2,Fished,-19.02766095,118.0432022,Fernanda Rolim,Yes,Yes
POC12003,20181022,12:23,106,1,2,Fished,-19.03227934,118.0487416,Matt Hammond,Yes,Yes
POC12004,20181022,12:34,104,1,2,Fished,-19.03632717,118.0435769,Fernanda Rolim,Yes,Yes
POC12005,20181022,12:41,113,1,2,Fished,-19.03208903,118.0386256,Matt Hammond,Yes,Yes
POC13001,20181022,15:28,104,1,3,Fished,-19.00217799,118.1778041,Matt Hammond,Yes,Yes
POC13002,20181022,15:35,104,1,3,Fished,-18.99675637,118.1771414,Matt Hammond,Yes,Yes
POC13003,20181022,15:45,106,1,3,Fished,-19.00152144,118.1819045,Matt Hammond,Yes,Yes
POC13004,20181022,15:52,105,1,3,Fished,-19.00596209,118.1779114,Matt Hammond,Yes,Yes
POC13005,20181022,16:00,106,1,3,Fished,-19.00155304,118.1728396,Matt Hammond,Yes,Yes
POC11006,20181023,7:12,125,1,1,Fished,-19.03103161,117.9389118,Unsuccessful,No,No
POC11007,20181023,7:24,127,1,1,Fished,-19.02634579,117.93843,Unsuccessful,No,No
POC11008,20181023,7:33,125,1,1,Fished,-19.03096137,117.9430609,Unsuccessful,No,No
POC11009,20181023,7:46,124,1,1,Fished,-19.03526598,117.9399116,Brooke Gibbons,Yes,Yes
POC11010,20181023,8:01,126,1,1,Fished,-19.03103823,117.9338357,Unsuccessful,No,No
POC12006,20181023,10:26,124,1,2,Fished,-18.99603762,118.0412166,Matt Hammond,Yes,Yes
POC12007,20181023,10:35,125,1,2,Fished,-18.99173213,118.0411275,Michael Brooker,Yes,Yes
POC12008,20181023,10:43,123,1,2,Fished,-18.99636179,118.0460757,Fernanda Rolim,Yes,Yes
POC12009,20181023,10:51,123,1,2,Fished,-19.00055719,118.0418397,Michael Brooker,Yes,Yes
POC12010,20181023,10:59,124,1,2,Fished,-18.99601818,118.0365949,Brooke Gibbons,Yes,Yes
POC13006,20181023,14:19,121,1,3,Fished,-18.96041495,118.1596212,Unsuccessful,No,No
POC13007,20181023,14:30,122,1,3,Fished,-18.95584112,118.159404,Fernanda Rolim,Yes,Yes
POC13008,20181023,14:40,121,1,3,Fished,-18.96007037,118.1643986,Matt Hammond,Yes,Yes
POC13009,20181023,14:47,119,1,3,Fished,-18.96455544,118.1603715,Fernanda Rolim,Yes,Yes
POC13010,20181023,14:56,121,1,3,Fished,-18.96030016,118.1549372,Michael Brooker,Yes,No
POC24001,20181024,7:30,122,2,4,Fished,-18.80576406,118.6424627,Unsuccessful,No,No
POC24002,20181024,7:41,124,2,4,Fished,-18.8011147,118.6427549,Unsuccessful,No,No
POC24003,20181024,7:55,122,2,4,Fished,-18.8054375,118.6478947,Unsuccessful,No,No
POC24004,20181024,8:05,121,2,4,Fished,-18.81044548,118.6426104,Unsuccessful,No,No
