"sample","family","genus","species","number","length","stage","activity","periodtime","range","scientific"
"POC13004","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",0.36333,1870.51152,"Nemipteridae Nemipterus spp"
"POC13004","Unknown","Unknown","spp",1,NA,"AD","Passing",0.36333,1803.67261,"Unknown Unknown spp"
"POC13004","Carangidae","Decapterus","spp",13,NA,"AD","Passing",13.36467,3526.30885,"Carangidae Decapterus spp"
"POC24010","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",1.40133,1298.02084,"Nemipteridae Nemipterus spp"
"POC24010","Carangidae","Carangoides","sp10",1,NA,"AD","Passing",25.58933,2138.18995,"Carangidae Carangoides sp10"
"POC24010","Carcharhinidae","Carcharhinus","spp",1,NA,"AD","Passing",29.112,2148.06827,"Carcharhinidae Carcharhinus spp"
"POC24010","Terapontidae","Terapon","jarbua",1,NA,"AD","Passing",42.442,1892.73712,"Terapontidae Terapon jarbua"
"POC24010","Terapontidae","Terapon","jarbua",1,NA,"AD","Passing",42.442,1465.25687,"Terapontidae Terapon jarbua"
"POC24010","Terapontidae","Terapon","jarbua",1,NA,"AD","Passing",42.442,1419.85816,"Terapontidae Terapon jarbua"
"POC24010","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",59.642,2444.6962,"Carangidae Carangoides chrysophrys"
"POC24010","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",59.642,2317.05956,"Carangidae Carangoides chrysophrys"
"POC24010","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",59.642,2271.70677,"Carangidae Carangoides chrysophrys"
"POC24010","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",59.642,2434.03218,"Carangidae Carangoides chrysophrys"
"POC24010","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",59.642,2164.56919,"Carangidae Carangoides chrysophrys"
"POC24010","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",59.642,2178.0623,"Carangidae Carangoides chrysophrys"
"POC24010","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",59.642,2316.21468,"Carangidae Carangoides chrysophrys"
"POC24010","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",59.642,2348.18109,"Carangidae Carangoides chrysophrys"
"POC24010","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",59.642,4581.50988,"Carangidae Carangoides chrysophrys"
"POC24010","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",59.642,3004.61841,"Carangidae Carangoides chrysophrys"
"POC24010","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",59.642,3565.97291,"Carangidae Carangoides chrysophrys"
"POC24010","Carangidae","Carangoides","chrysophrys",1,NA,"AD","Passing",59.642,2366.10179,"Carangidae Carangoides chrysophrys"
"POC12007","Carcharhinidae","Carcharhinus","sorrah",1,NA,"AD","Passing",7.40533,4375.49002,"Carcharhinidae Carcharhinus sorrah"
"POC25002","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",1.96933,1506.11255,"Nemipteridae Nemipterus spp"
"POC25002","Nemipteridae","Nemipterus","spp",1,NA,"AD","Passing",2.998,1384.20942,"Nemipteridae Nemipterus spp"
"POC25002","Carcharhinidae","Loxodon","macrorhinus",1,NA,"AD","Passing",3.34067,1265.72794,"Carcharhinidae Loxodon macrorhinus"
"POC25002","Carangidae","Caranx","ignobilis",1,NA,"AD","Passing",8.64133,2587.34576,"Carangidae Caranx ignobilis"
"POC25002","Carangidae","Carangoides","caeruleopinnatus",1,NA,"AD","Passing",13.65667,1412.61983,"Carangidae Carangoides caeruleopinnatus"
"POC25002","Sphyrnidae","Sphyrna","lewini",1,NA,"AD","Passing",16.06267,1541.26867,"Sphyrnidae Sphyrna lewini"
