"sample","family","genus","species","length","number","range","activity"
"POC11001","Ariidae","Netuma","thalassina",NA,0,NA,NA
"POC11001","Balistidae","Abalistes","stellatus",225.2599,1,2643.74072,"Passing"
"POC11001","Bothidae","Unknown","spp",NA,0,NA,NA
"POC11001","Carangidae","Carangoides","caeruleopinnatus",NA,0,NA,NA
"POC11001","Carangidae","Carangoides","chrysophrys",357.66108,1,2009.14161,"Passing"
"POC11001","Carangidae","Carangoides","chrysophrys",245.03743,1,1965.766,"Passing"
"POC11001","Carangidae","Carangoides","chrysophrys",416.0884,1,1735.31207,"Passing"
"POC11001","Carangidae","Carangoides","chrysophrys",235.93077,1,2438.14415,"Passing"
"POC11001","Carangidae","Carangoides","malabaricus",NA,0,NA,NA
"POC11001","Carangidae","Carangoides","sp1",NA,0,NA,NA
"POC11001","Carangidae","Carangoides","sp10",NA,0,NA,NA
"POC11001","Carangidae","Carangoides","spp",NA,0,NA,NA
"POC11001","Carangidae","Caranx","ignobilis",541.76581,1,2639.06748,"Passing"
"POC11001","Carangidae","Caranx","tille",NA,0,NA,NA
"POC11001","Carangidae","Decapterus","spp",NA,0,NA,NA
"POC11001","Carangidae","Seriola","dumerili",NA,0,NA,NA
"POC11001","Carangidae","Seriola","hippos",NA,0,NA,NA
"POC11001","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,NA
"POC11001","Carcharhinidae","Carcharhinus","coatesi",NA,0,NA,NA
"POC11001","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,NA
"POC11001","Carcharhinidae","Carcharhinus","sorrah",NA,0,NA,NA
"POC11001","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA
"POC11001","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,NA
"POC11001","Carcharhinidae","Loxodon","macrorhinus",605.13262,1,2590.9685,"Passing"
"POC11001","Echeneidae","Echeneis","naucrates",NA,0,NA,NA
"POC11001","Fistulariidae","Fistularia","commersonii",NA,0,NA,NA
"POC11001","Labridae","Bodianus","solatus",NA,0,NA,NA
"POC11001","Lethrinidae","Gymnocranius","grandoculis",362.09301,1,3088.59189,"Passing"
