"sample","family","genus","species","length","number","range","activity","date","time","depth","location","site","status","latitude","longitude","observer","successful.count","successful.length","mean.relief","sd.relief","fov.Limited","fov.Open","broad..Octocoral.Black","broad..Unconsolidated","detailed..Octocoral.Black..Branching..3D...Type.1","detailed..Octocoral.Black..Branching..3D...Type.2","detailed..Octocoral.Black..Fan..2D.","detailed..Octocoral.Black..Whip","detailed..Unconsolidated..Sand...mud..coarse.sand.","detailed..Unconsolidated..Sand...mud..fine.sand.","bedform..2D.Ripples...10cm.height.","bedform..3D.Ripples...10cm.height.","bedform..Bioturbated.","bedform..None."
"POC11001","Ariidae","Netuma","thalassina",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Balistidae","Abalistes","stellatus",225.2599,1,2643.74072,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Bothidae","Unknown","spp",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Carangoides","caeruleopinnatus",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Carangoides","chrysophrys",357.66108,1,2009.14161,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Carangoides","chrysophrys",245.03743,1,1965.766,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Carangoides","chrysophrys",416.0884,1,1735.31207,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Carangoides","chrysophrys",235.93077,1,2438.14415,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Carangoides","malabaricus",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Carangoides","sp1",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Carangoides","sp10",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Carangoides","spp",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Caranx","ignobilis",541.76581,1,2639.06748,"Passing",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Caranx","tille",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Decapterus","spp",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Seriola","dumerili",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carangidae","Seriola","hippos",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carcharhinidae","Carcharhinus","coatesi",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carcharhinidae","Carcharhinus","sorrah",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11001","Carcharhinidae","Carcharhinus","spp",NA,0,NA,NA,20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
