"sample","scientific","maxn","family","genus","species"
"POC11001","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC11002","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC11003","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC11004","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC11005","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC11009","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC11011","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC11012","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC11013","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC11014","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC11015","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC12001","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC12002","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC12003","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina"
"POC12004","Ariidae Netuma thalassina",4,"Ariidae","Netuma","thalassina"
"POC12005","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC12006","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC12007","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC12008","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC12009","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC12010","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina"
"POC13001","Ariidae Netuma thalassina",4,"Ariidae","Netuma","thalassina"
"POC13002","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina"
"POC13003","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina"
"POC13004","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC13005","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina"
"POC13007","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC13008","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC13009","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC13010","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC24006","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC24007","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC24008","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC24009","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC24010","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC25001","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC25002","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC25004","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC25005","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC26001","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina"
"POC26002","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina"
"POC26003","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina"
"POC26004","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina"
"POC26005","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC37001","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC37002","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC37003","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC37004","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC37005","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC38001","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina"
"POC38002","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina"
"POC38004","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC38005","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC39001","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC39002","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC39003","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC39004","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC39005","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina"
"POC11001","Balistidae Abalistes stellatus",1,"Balistidae","Abalistes","stellatus"
"POC11002","Balistidae Abalistes stellatus",3,"Balistidae","Abalistes","stellatus"
"POC11003","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC11004","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC11005","Balistidae Abalistes stellatus",1,"Balistidae","Abalistes","stellatus"
"POC11009","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC11011","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC11012","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC11013","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC11014","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC11015","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC12001","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC12002","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC12003","Balistidae Abalistes stellatus",1,"Balistidae","Abalistes","stellatus"
"POC12004","Balistidae Abalistes stellatus",1,"Balistidae","Abalistes","stellatus"
"POC12005","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC12006","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC12007","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC12008","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC12009","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC12010","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC13001","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC13002","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC13003","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC13004","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC13005","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC13007","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC13008","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC13009","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC13010","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC24006","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC24007","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC24008","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC24009","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC24010","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC25001","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC25002","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC25004","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC25005","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC26001","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC26002","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC26003","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC26004","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC26005","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC37001","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC37002","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC37003","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC37004","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC37005","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC38001","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC38002","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC38004","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC38005","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC39001","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC39002","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC39003","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC39004","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC39005","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus"
"POC11001","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC11002","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC11003","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC11004","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC11005","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC11009","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC11011","Bothidae Unknown spp",1,"Bothidae","Unknown","spp"
"POC11012","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC11013","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC11014","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC11015","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC12001","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC12002","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC12003","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC12004","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC12005","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC12006","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC12007","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC12008","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC12009","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC12010","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC13001","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC13002","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC13003","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC13004","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC13005","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC13007","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC13008","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC13009","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC13010","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC24006","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC24007","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC24008","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC24009","Bothidae Unknown spp",1,"Bothidae","Unknown","spp"
"POC24010","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC25001","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC25002","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC25004","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC25005","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC26001","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC26002","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC26003","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC26004","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC26005","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC37001","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC37002","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC37003","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC37004","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC37005","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC38001","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC38002","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC38004","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC38005","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC39001","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC39002","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC39003","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC39004","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC39005","Bothidae Unknown spp",0,"Bothidae","Unknown","spp"
"POC11001","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC11002","Carangidae Carangoides caeruleopinnatus",1,"Carangidae","Carangoides","caeruleopinnatus"
"POC11003","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC11004","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC11005","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC11009","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC11011","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC11012","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC11013","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC11014","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC11015","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC12001","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC12002","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC12003","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC12004","Carangidae Carangoides caeruleopinnatus",1,"Carangidae","Carangoides","caeruleopinnatus"
"POC12005","Carangidae Carangoides caeruleopinnatus",1,"Carangidae","Carangoides","caeruleopinnatus"
"POC12006","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC12007","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC12008","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC12009","Carangidae Carangoides caeruleopinnatus",9,"Carangidae","Carangoides","caeruleopinnatus"
"POC12010","Carangidae Carangoides caeruleopinnatus",1,"Carangidae","Carangoides","caeruleopinnatus"
"POC13001","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC13002","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC13003","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC13004","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC13005","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC13007","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC13008","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC13009","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
"POC13010","Carangidae Carangoides caeruleopinnatus",0,"Carangidae","Carangoides","caeruleopinnatus"
