"sample","scientific","maxn","family","genus","species","date","time","depth","location","site","status","latitude","longitude","observer","successful.count","successful.length","mean.relief","sd.relief","fov.Limited","fov.Open","broad..Octocoral.Black","broad..Unconsolidated","detailed..Octocoral.Black..Branching..3D...Type.1","detailed..Octocoral.Black..Branching..3D...Type.2","detailed..Octocoral.Black..Fan..2D.","detailed..Octocoral.Black..Whip","detailed..Unconsolidated..Sand...mud..coarse.sand.","detailed..Unconsolidated..Sand...mud..fine.sand.","bedform..2D.Ripples...10cm.height.","bedform..3D.Ripples...10cm.height.","bedform..Bioturbated.","bedform..None."
"POC11001","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11002","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11003","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181022,"8:16",99,1,1,"Fished",-19.06097751,117.9983176,"Michael Brooker","Yes","Yes",1.3,1.15950180872841,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"POC11004","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181022,"8:29",99.5,1,1,"Fished",-19.06528606,117.9935499,"Michael Brooker","Yes","Yes",0.2,0.632455532033676,0,1,0,1,0,0,0,0,0.6,0.4,0,0,0.1,0.9
"POC11005","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181022,"8:40",100,1,1,"Fished",-19.06093706,117.9886542,"Fernanda Rolim","Yes","Yes",1.2,1.6431676725155,0,1,0.4,0.6,0.2,0.2,0,0,0,0.6,0,0,0,1
"POC11009","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181023,"7:46",124,1,1,"Fished",-19.03526598,117.9399116,"Brooke Gibbons","Yes","Yes",0.1,0.316227766016838,0,1,0,1,0,0,0,0,0,1,0,0,0.1,0.9
"POC11011","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181029,"6:04",123,1,1,"Fished",-19.03112569,117.9379232,"Michael Brooker","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC11012","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181029,"6:12",125,1,1,"Fished",-19.02643438,117.9382437,"Michael Brooker","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC11013","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181029,"6:19",124,1,1,"Fished",-19.0310249,117.9429286,"Matt Hammond","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC11014","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181029,"6:26",121,1,1,"Fished",-19.0354754,117.9384762,"Matt Hammond","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC11015","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181029,"6:33",124,1,1,"Fished",-19.03117397,117.9335458,"Matt Hammond","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.111111111111111,0.888888888888889
"POC12001","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181022,"12:06",114,1,2,"Fished",-19.02441154,118.0508807,"Michael Brooker","Yes","Yes",1.6,0.894427190999916,0,1,0.4,0.6,0.2,0.2,0,0,0,0.6,0,0,0,1
"POC12002","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181022,"12:14",115,1,2,"Fished",-19.02766095,118.0432022,"Fernanda Rolim","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC12003","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina",20181022,"12:23",106,1,2,"Fished",-19.03227934,118.0487416,"Matt Hammond","Yes","Yes",1.35714285714286,1.21573927222163,0,1,0.285714285714286,0.714285714285714,0.214285714285714,0.0714285714285714,0,0,0,0.714285714285714,0,0,0.642857142857143,0.357142857142857
"POC12004","Ariidae Netuma thalassina",4,"Ariidae","Netuma","thalassina",20181022,"12:34",104,1,2,"Fished",-19.03632717,118.0435769,"Fernanda Rolim","Yes","Yes",1.16666666666667,1.19341628287971,0,1,0.416666666666667,0.583333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0.0833333333333333,0,0.583333333333333,0,0,0.25,0.75
"POC12005","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181022,"12:41",113,1,2,"Fished",-19.03208903,118.0386256,"Matt Hammond","Yes","Yes",2.3,0.483045891539648,0,1,0.4,0.6,0.2,0.2,0,0,0,0.6,0,0,1,0
"POC12006","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181023,"10:26",124,1,2,"Fished",-18.99603762,118.0412166,"Matt Hammond","Yes","Yes",0.2,0.632455532033676,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC12007","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181023,"10:35",125,1,2,"Fished",-18.99173213,118.0411275,"Michael Brooker","Yes","Yes",0.125,0.353553390593274,0,1,0,1,0,0,0,0,0,1,0,0,0.125,0.875
"POC12008","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181023,"10:43",123,1,2,"Fished",-18.99636179,118.0460757,"Fernanda Rolim","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.1,0.9
"POC12009","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181023,"10:51",123,1,2,"Fished",-19.00055719,118.0418397,"Michael Brooker","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC12010","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina",20181023,"10:59",124,1,2,"Fished",-18.99601818,118.0365949,"Brooke Gibbons","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC13001","Ariidae Netuma thalassina",4,"Ariidae","Netuma","thalassina",20181022,"15:28",104,1,3,"Fished",-19.00217799,118.1778041,"Matt Hammond","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC13002","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina",20181022,"15:35",104,1,3,"Fished",-18.99675637,118.1771414,"Matt Hammond","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC13003","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina",20181022,"15:45",106,1,3,"Fished",-19.00152144,118.1819045,"Matt Hammond","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC13004","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181022,"15:52",105,1,3,"Fished",-19.00596209,118.1779114,"Matt Hammond","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.3,0.7
"POC13005","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina",20181022,"16:00",106,1,3,"Fished",-19.00155304,118.1728396,"Matt Hammond","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC13007","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181023,"14:30",122,1,3,"Fished",-18.95584112,118.159404,"Fernanda Rolim","Yes","Yes",0.2,0.447213595499958,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC13008","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181023,"14:40",121,1,3,"Fished",-18.96007037,118.1643986,"Matt Hammond","Yes","Yes",0.4,0.516397779494322,0,1,0,1,0,0,0,0,0.3,0.7,0,0,0.6,0.4
"POC13009","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181023,"14:47",119,1,3,"Fished",-18.96455544,118.1603715,"Fernanda Rolim","Yes","Yes",0.1,0.316227766016838,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC13010","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181023,"14:56",121,1,3,"Fished",-18.96030016,118.1549372,"Michael Brooker","Yes","No",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.1,0.9
"POC24006","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181028,"11:50",123,2,4,"Fished",-18.78394655,118.696501,"Fernanda Rolim","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC24007","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181028,"11:57",123,2,4,"Fished",-18.77947376,118.6965424,"Fernanda Rolim","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.8,0.2
"POC24008","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181028,"12:05",123,2,4,"Fished",-18.78375306,118.70129,"Fernanda Rolim","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"POC24009","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181028,"12:13",122,2,4,"Fished",-18.78855928,118.696895,"Fernanda Rolim","Yes","Yes",1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
"POC24010","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181028,"12:21",122,2,4,"Fished",-18.7838326,118.6916853,"Fernanda Rolim","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"POC25001","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181024,"11:25",121,2,5,"Fished",-18.75255193,118.7832728,"Brooke Gibbons","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC25002","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181024,"11:34",121,2,5,"Fished",-18.74817138,118.7826999,"Matt Hammond","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC25004","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181024,"11:51",123,2,5,"Fished",-18.7573097,118.7832987,"Matt Hammond","Yes","Yes",0.6,0.894427190999916,0,1,0.2,0.8,0.2,0,0,0,0,0.8,0,0,0.4,0.6
"POC25005","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181024,"11:59",121,2,5,"Fished",-18.75260591,118.7784945,"Michael Brooker","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC26001","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina",20181028,"5:56",122,2,6,"Fished",-18.713075,118.944143,"Fernanda Rolim","Yes","Yes",0.142857142857143,0.377964473009227,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC26002","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina",20181028,"6:06",122,2,6,"Fished",-18.708244,118.94424,"Matt Hammond","Yes","No",1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"POC26003","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina",20181028,"6:14",122,2,6,"Fished",-18.713227,118.949462,"Fernanda Rolim","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC26004","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina",20181028,"6:22",121,2,6,"Fished",-18.717584,118.944467,"Michael Brooker","Yes","Yes",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC26005","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181028,"6:30",120,2,6,"Fished",-18.713211,118.939822,"Michael Brooker","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC37001","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181026,"11:50",123,3,7,"Fished",-18.56447677,119.2506218,"Michael Brooker","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC37002","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181026,"11:57",123,3,7,"Fished",-18.55999702,119.2507607,"Michael Brooker","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC37003","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181026,"12:05",123,3,7,"Fished",-18.56444559,119.2553131,"Fernanda Rolim","Yes","Yes",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC37004","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181026,"12:12",123,3,7,"Fished",-18.5692853,119.2509767,"Michael Brooker","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0.2,0.8,0,0,0.2,0.8
"POC37005","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181026,"12:21",123,3,7,"Fished",-18.5645538,119.2458933,"Michael Brooker","Yes","Yes",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC38001","Ariidae Netuma thalassina",1,"Ariidae","Netuma","thalassina",20181027,"5:50",118,3,8,"Fished",-18.49844037,119.3364372,"Brooke Gibbons","Yes","Yes",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC38002","Ariidae Netuma thalassina",2,"Ariidae","Netuma","thalassina",20181027,"6:00",118,3,8,"Fished",-18.49385006,119.3367691,"Fernanda Rolim","Yes","Yes",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC38004","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181027,"6:16",118,3,8,"Fished",-18.5027915,119.3365407,"Fernanda Rolim","Yes","Yes",0,0,0.75,0.25,0,1,0,0,0,0,1,0,0,0,0,1
"POC38005","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181027,"6:22",118,3,8,"Fished",-18.49851031,119.3321303,"Brooke Gibbons","Yes","Yes",0.666666666666667,1.03279555898864,0,1,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,1
"POC39001","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181027,"11:46",122,3,9,"Fished",-18.44351627,119.4205506,"Fernanda Rolim","Yes","Yes",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC39002","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181027,"11:54",122,3,9,"Fished",-18.43894993,119.4205948,"Fernanda Rolim","Yes","Yes",0.2,0.447213595499958,0,1,0,1,0,0,0,0,0.8,0.2,0,0,0,1
"POC39003","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181027,"12:01",122,3,9,"Fished",-18.44348345,119.42512,"Matt Hammond","Yes","Yes",0.4,0.547722557505166,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC39004","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181027,"12:08",122,3,9,"Fished",-18.44801932,119.4205086,"Fernanda Rolim","Yes","Yes",0,0,0,1,0,1,0,0,0,0,0.7,0.3,0,0,0,1
"POC39005","Ariidae Netuma thalassina",0,"Ariidae","Netuma","thalassina",20181027,"12:15",122,3,9,"Fished",-18.44351413,119.415705,"Fernanda Rolim","Yes","No",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC11001","Balistidae Abalistes stellatus",1,"Balistidae","Abalistes","stellatus",20181022,"7:48",99.7,1,1,"Fished",-19.06074981,117.9939425,"Fernanda Rolim","Yes","Yes",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11002","Balistidae Abalistes stellatus",3,"Balistidae","Abalistes","stellatus",20181022,"8:06",101,1,1,"Fished",-19.05631981,117.9932366,"Brooke Gibbons","Yes","Yes",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11003","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus",20181022,"8:16",99,1,1,"Fished",-19.06097751,117.9983176,"Michael Brooker","Yes","Yes",1.3,1.15950180872841,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"POC11004","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus",20181022,"8:29",99.5,1,1,"Fished",-19.06528606,117.9935499,"Michael Brooker","Yes","Yes",0.2,0.632455532033676,0,1,0,1,0,0,0,0,0.6,0.4,0,0,0.1,0.9
"POC11005","Balistidae Abalistes stellatus",1,"Balistidae","Abalistes","stellatus",20181022,"8:40",100,1,1,"Fished",-19.06093706,117.9886542,"Fernanda Rolim","Yes","Yes",1.2,1.6431676725155,0,1,0.4,0.6,0.2,0.2,0,0,0,0.6,0,0,0,1
"POC11009","Balistidae Abalistes stellatus",0,"Balistidae","Abalistes","stellatus",20181023,"7:46",124,1,1,"Fished",-19.03526598,117.9399116,"Brooke Gibbons","Yes","Yes",0.1,0.316227766016838,0,1,0,1,0,0,0,0,0,1,0,0,0.1,0.9
