"sample","mean.relief","sd.relief","fov.Limited","fov.Open","broad. Octocoral/Black","broad. Unconsolidated","detailed: Octocoral/Black: Branching (3D): Type 1","detailed: Octocoral/Black: Branching (3D): Type 2","detailed: Octocoral/Black: Fan (2D)","detailed: Octocoral/Black: Whip","detailed: Unconsolidated: Sand / mud (coarse sand)","detailed: Unconsolidated: Sand / mud (fine sand)","bedform. 2D Ripples (<10cm height)","bedform. 3D Ripples (<10cm height)","bedform. Bioturbated ","bedform. None "
"POC11001",1.8,1.09544511501033,0,1,0.4,0.6,0.2,0,0,0.2,0,0.6,0,0,1,0
"POC11002",0.9,0.994428926011753,0,1,0,1,0,0,0,0,0.2,0.8,0,0,1,0
"POC11003",1.3,1.15950180872841,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"POC11004",0.2,0.632455532033676,0,1,0,1,0,0,0,0,0.6,0.4,0,0,0.1,0.9
"POC11005",1.2,1.6431676725155,0,1,0.4,0.6,0.2,0.2,0,0,0,0.6,0,0,0,1
"POC11009",0.1,0.316227766016838,0,1,0,1,0,0,0,0,0,1,0,0,0.1,0.9
"POC11010",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC11011",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC11012",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC11013",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC11014",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC11015",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.111111111111111,0.888888888888889
"POC12001",1.6,0.894427190999916,0,1,0.4,0.6,0.2,0.2,0,0,0,0.6,0,0,0,1
"POC12002",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC12003",1.35714285714286,1.21573927222163,0,1,0.285714285714286,0.714285714285714,0.214285714285714,0.0714285714285714,0,0,0,0.714285714285714,0,0,0.642857142857143,0.357142857142857
"POC12004",1.16666666666667,1.19341628287971,0,1,0.416666666666667,0.583333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0.0833333333333333,0,0.583333333333333,0,0,0.25,0.75
"POC12005",2.3,0.483045891539648,0,1,0.4,0.6,0.2,0.2,0,0,0,0.6,0,0,1,0
"POC12006",0.2,0.632455532033676,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC12007",0.125,0.353553390593274,0,1,0,1,0,0,0,0,0,1,0,0,0.125,0.875
"POC12008",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.1,0.9
"POC12009",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC12010",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC13001",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC13002",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC13003",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC13004",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.3,0.7
"POC13005",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC13007",0.2,0.447213595499958,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC13008",0.4,0.516397779494322,0,1,0,1,0,0,0,0,0.3,0.7,0,0,0.6,0.4
"POC13009",0.1,0.316227766016838,0,1,0,1,0,0,0,0,0,1,0,0,0.2,0.8
"POC13010",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.1,0.9
"POC24006",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC24007",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.8,0.2
"POC24008",0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"POC24009",1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
"POC24010",0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"POC25001",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC25002",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC25004",0.6,0.894427190999916,0,1,0.2,0.8,0.2,0,0,0,0,0.8,0,0,0.4,0.6
"POC25005",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC26001",0.142857142857143,0.377964473009227,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC26002",1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"POC26003",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC26004",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC26005",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC37001",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC37002",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"POC37003",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC37004",0,0,0,1,0,1,0,0,0,0,0.2,0.8,0,0,0.2,0.8
"POC37005",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC38001",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC38002",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC38004",0,0,0.75,0.25,0,1,0,0,0,0,1,0,0,0,0,1
"POC38005",0.666666666666667,1.03279555898864,0,1,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,1
"POC39001",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC39002",0.2,0.447213595499958,0,1,0,1,0,0,0,0,0.8,0.2,0,0,0,1
"POC39003",0.4,0.547722557505166,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"POC39004",0,0,0,1,0,1,0,0,0,0,0.7,0.3,0,0,0,1
"POC39005",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
